CODICE_NATURA_INTERVENTO,NATURA_INTERVENTO,CODICE_PADRE,LIVELLO
AB,ACQUISTO DI BENI,01,2
SS,SERVIZI (INCLUSA PROGETTAZIONE),02,2
CF,CORSI DI FORMAZIONE,02,2
PR,PROGETTI DI RICERCA,02,2
LP,LAVORI PUBBLICI,03,2
CS,CONTRIBUTI (PER CALAMITÃ€ E ALTRO),06,2
II,INCENTIVI ALLE IMPRESE,07,2
ST,STRUMENTI FINANZIARI,08,2
1,ACQUISTO DI BENI,,1
2,ACQUISTO O REALIZZAZIONE DI SERVIZI,,1
3,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),,1
6,CONCESSIONE DI CONTRIBUTI AD ALTRI SOGGETTI (DIVERSI DA UNITÃ€ PRODUTTIVE),,1
7,CONCESSIONE DI INCENTIVI AD UNITÃ€ PRODUTTIVE,,1
8,"SOTTOSCRIZIONE INIZIALE O AUMENTO DI CAPITALE SOCIALE (COMPRESI SPIN OFF), FONDI DI RISCHIO O DI GARANZIA",,1
